location,maxtempC,mintempC,FeelsLikeC,humidity,precipMM,sunHour,uvIndex,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,score,classificacao,amplitude_termica,tci,tci_mensal,melhor_estacao,melhor_estacao_score,Inverno_maxtempC,Inverno_mintempC,Inverno_FeelsLikeC,Inverno_humidity,Inverno_precipMM,Inverno_sunHour,Inverno_uvIndex,Inverno_calor_extremo,Inverno_frio_extremo,Inverno_chuva_extrema,Inverno_neve,Inverno_uv_extremo,Inverno_score,Inverno_classificacao,Inverno_amplitude_termica,Inverno_tci,Inverno_tci_mensal,Primavera_maxtempC,Primavera_mintempC,Primavera_FeelsLikeC,Primavera_humidity,Primavera_precipMM,Primavera_sunHour,Primavera_uvIndex,Primavera_calor_extremo,Primavera_frio_extremo,Primavera_chuva_extrema,Primavera_neve,Primavera_uv_extremo,Primavera_score,Primavera_classificacao,Primavera_amplitude_termica,Primavera_tci,Primavera_tci_mensal,Verão_maxtempC,Verão_mintempC,Verão_FeelsLikeC,Verão_humidity,Verão_precipMM,Verão_sunHour,Verão_uvIndex,Verão_calor_extremo,Verão_frio_extremo,Verão_chuva_extrema,Verão_neve,Verão_uv_extremo,Verão_score,Verão_classificacao,Verão_amplitude_termica,Verão_tci,Verão_tci_mensal,Outono_maxtempC,Outono_mintempC,Outono_FeelsLikeC,Outono_humidity,Outono_precipMM,Outono_sunHour,Outono_uvIndex,Outono_calor_extremo,Outono_frio_extremo,Outono_chuva_extrema,Outono_neve,Outono_uv_extremo,Outono_score,Outono_classificacao,Outono_amplitude_termica,Outono_tci,Outono_tci_mensal
Cinfaes,"20,37","10,00","14,34","71,82","1,93","9,41","3,84","11,00","0,00","28,00","0,00","0,00","55,91",Aceitável,"35,00","43,88","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  43.0
5   2024   11  44.0
6   2024   12  32.0
7   2025    1  27.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  56.5
12  2025    6  48.0",Verão,"74,92","12,81","4,74","7,40","78,91","1,69","7,31","2,58","0,00","0,00","10,00","0,00","0,00","44,25",Marginal,"18,00","31,67","    ano  mes   tci
0  2024   12  32.0
1  2025    1  27.0
2  2025    2  36.0","18,81","8,51","12,88","74,90","3,32","8,89","3,40","0,00","0,00","8,00","0,00","0,00","61,11",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  56.5","29,38","15,26","21,75","61,15","0,19","13,38","5,48","11,00","0,00","1,00","0,00","0,00","74,92",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,43","11,46","15,27","72,29","2,44","8,07","3,89","0,00","0,00","9,00","0,00","0,00","69,81",Bom,"25,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  43.0
2  2024   11  44.0"
Resende,"20,37","10,00","14,34","71,82","1,93","9,43","3,84","11,00","0,00","28,00","0,00","0,00","55,91",Aceitável,"35,00","43,88","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  43.0
5   2024   11  44.0
6   2024   12  32.0
7   2025    1  27.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  56.5
12  2025    6  48.0",Verão,"74,92","12,81","4,74","7,40","78,91","1,69","7,31","2,58","0,00","0,00","10,00","0,00","0,00","44,25",Marginal,"18,00","31,67","    ano  mes   tci
0  2024   12  32.0
1  2025    1  27.0
2  2025    2  36.0","18,81","8,51","12,88","74,90","3,32","8,89","3,40","0,00","0,00","8,00","0,00","0,00","61,11",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  56.5","29,38","15,26","21,75","61,15","0,19","13,43","5,48","11,00","0,00","1,00","0,00","0,00","74,92",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,43","11,46","15,27","72,29","2,44","8,07","3,89","0,00","0,00","9,00","0,00","0,00","69,81",Bom,"25,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  43.0
2  2024   11  44.0"
Castelo de Paiva,"20,37","10,00","14,34","71,82","1,93","9,41","3,84","11,00","0,00","28,00","0,00","0,00","55,91",Aceitável,"35,00","43,88","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  43.0
5   2024   11  44.0
6   2024   12  32.0
7   2025    1  27.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  56.5
12  2025    6  48.0",Verão,"74,92","12,81","4,74","7,40","78,91","1,69","7,31","2,58","0,00","0,00","10,00","0,00","0,00","44,25",Marginal,"18,00","31,67","    ano  mes   tci
0  2024   12  32.0
1  2025    1  27.0
2  2025    2  36.0","18,81","8,51","12,88","74,90","3,32","8,89","3,40","0,00","0,00","8,00","0,00","0,00","61,11",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  56.5","29,38","15,26","21,75","61,15","0,19","13,37","5,48","11,00","0,00","1,00","0,00","0,00","74,92",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,43","11,46","15,27","72,29","2,44","8,06","3,89","0,00","0,00","9,00","0,00","0,00","69,81",Bom,"25,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  43.0
2  2024   11  44.0"
Marco de Canaveses,"20,37","10,00","14,34","71,82","1,93","9,42","3,84","11,00","0,00","28,00","0,00","0,00","55,91",Aceitável,"35,00","43,88","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  43.0
5   2024   11  44.0
6   2024   12  32.0
7   2025    1  27.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  56.5
12  2025    6  48.0",Verão,"74,92","12,81","4,74","7,40","78,91","1,69","7,31","2,58","0,00","0,00","10,00","0,00","0,00","44,25",Marginal,"18,00","31,67","    ano  mes   tci
0  2024   12  32.0
1  2025    1  27.0
2  2025    2  36.0","18,81","8,51","12,88","74,90","3,32","8,89","3,40","0,00","0,00","8,00","0,00","0,00","61,11",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  56.5","29,38","15,26","21,75","61,15","0,19","13,42","5,48","11,00","0,00","1,00","0,00","0,00","74,92",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,43","11,46","15,27","72,29","2,44","8,06","3,89","0,00","0,00","9,00","0,00","0,00","69,81",Bom,"25,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  43.0
2  2024   11  44.0"
Figueira de Castelo Rodrigo,"18,05","8,15","11,61","70,33","1,65","9,28","3,45","5,00","1,00","11,00","0,00","0,00","55,22",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,65","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,02","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","14,01","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,33","3,50","0,00","0,00","3,00","0,00","0,00","62,81",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Sabugal,"18,05","8,15","11,61","70,33","1,65","9,26","3,45","5,00","1,00","11,00","0,00","0,00","55,22",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,78","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,00","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","13,86","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,32","3,50","0,00","0,00","3,00","0,00","0,00","62,81",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Pinhel,"18,05","8,15","11,61","70,33","1,65","9,30","3,45","5,00","1,00","11,00","0,00","0,00","55,22",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,78","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,01","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","14,00","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,32","3,50","0,00","0,00","3,00","0,00","0,00","62,81",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Almeida,"18,05","8,15","11,61","70,33","1,65","9,26","3,45","5,00","1,00","11,00","0,00","0,00","55,22",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,67","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,01","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","13,95","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,33","3,50","0,00","0,00","3,00","0,00","0,00","62,81",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Guarda,"18,05","8,15","11,61","70,33","1,65","9,27","3,45","5,00","1,00","11,00","0,00","0,00","55,17",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,79","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,00","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","13,92","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,30","3,50","0,00","0,00","3,00","0,00","0,00","62,58",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Meda,"18,05","8,15","11,61","70,33","1,65","9,32","3,45","5,00","1,00","11,00","0,00","0,00","55,17",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,78","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,02","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","14,06","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,32","3,50","0,00","0,00","3,00","0,00","0,00","62,58",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Celorico da Beira,"18,05","8,15","11,61","70,33","1,65","9,29","3,45","5,00","1,00","11,00","0,00","0,00","55,17",Aceitável,"37,00","39,00","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  60.0
4   2024   10  44.0
5   2024   11  37.0
6   2024   12  18.5
7   2025    1  15.0
8   2025    2  28.0
9   2025    3  27.0
10  2025    4  36.0
11  2025    5  45.5
12  2025    6  48.0",Verão,"76,00","9,75","2,71","3,73","81,55","1,57","6,79","1,95","0,00","1,00","4,00","0,00","0,00","42,09",Marginal,"18,00","20,50","    ano  mes   tci
0  2024   12  18.5
1  2025    1  15.0
2  2025    2  28.0","14,85","6,07","8,90","76,76","2,78","8,01","2,82","0,00","0,00","4,00","0,00","0,00","51,75",Aceitável,"32,00","36,17","    ano  mes   tci
0  2025    3  27.0
1  2025    4  36.0
2  2025    5  45.5","29,30","14,15","21,12","50,74","0,34","13,97","5,49","5,00","0,00","0,00","0,00","0,00","76,00",Muito Bom,"27,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","18,00","9,49","12,42","72,65","1,90","8,31","3,50","0,00","0,00","3,00","0,00","0,00","62,58",Bom,"25,00","47,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  44.0
2  2024   11  37.0"
Celorico de Basto,"21,19","9,72","14,55","72,46","2,12","9,17","3,87","17,00","0,00","25,00","0,00","0,00","54,83",Aceitável,"36,00","46,69","     ano  mes   tci
0   2024    6  57.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  55.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  35.0
10  2025    4  56.0
11  2025    5  57.5
12  2025    6  48.0",Outono,"72,35","14,27","5,71","8,43","79,94","2,43","7,01","2,75","0,00","0,00","7,00","0,00","0,00","43,56",Marginal,"20,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","19,87","8,65","13,52","74,99","3,03","8,73","3,48","0,00","0,00","8,00","0,00","0,00","63,64",Bom,"33,00","49,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  56.0
2  2025    5  57.5","29,68","13,51","21,35","61,45","0,30","13,44","5,43","17,00","0,00","1,00","0,00","0,00","71,29",Muito Bom,"28,00","48,38","    ano  mes   tci
0  2024    6  57.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","21,80","11,40","15,56","72,35","2,55","7,91","3,99","0,00","0,00","9,00","0,00","0,00","72,35",Muito Bom,"27,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  55.0
2  2024   11  44.0"
Amarante,"21,19","9,72","14,55","72,46","2,12","9,16","3,87","17,00","0,00","25,00","0,00","0,00","54,83",Aceitável,"36,00","46,69","     ano  mes   tci
0   2024    6  57.5
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  55.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  35.0
10  2025    4  56.0
11  2025    5  57.5
12  2025    6  48.0",Outono,"72,35","14,27","5,71","8,43","79,94","2,43","7,01","2,75","0,00","0,00","7,00","0,00","0,00","43,56",Marginal,"20,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","19,87","8,65","13,52","74,99","3,03","8,73","3,48","0,00","0,00","8,00","0,00","0,00","63,64",Bom,"33,00","49,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  56.0
2  2025    5  57.5","29,68","13,51","21,35","61,45","0,30","13,39","5,43","17,00","0,00","1,00","0,00","0,00","71,29",Muito Bom,"28,00","48,38","    ano  mes   tci
0  2024    6  57.5
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","21,80","11,40","15,56","72,35","2,55","7,91","3,99","0,00","0,00","9,00","0,00","0,00","72,35",Muito Bom,"27,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  55.0
2  2024   11  44.0"
Carregal do Sal,"20,21","9,59","13,73","71,44","1,84","9,28","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,07","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,62","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,57","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,18","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
Sao Pedro do Sul,"20,21","9,59","13,73","71,44","1,84","9,29","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,07","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,61","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,62","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,18","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
Vila Nova de Paiva,"20,21","9,59","13,73","71,44","1,84","9,31","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,06","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,61","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,71","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,20","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
Viseu,"20,21","9,59","13,73","71,44","1,84","9,29","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,07","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,62","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,59","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,19","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
Castro Daire,"20,21","9,59","13,73","71,44","1,84","9,30","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,06","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,62","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,67","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,19","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
Penalva do Castelo,"20,21","9,59","13,73","71,44","1,84","9,30","3,80","14,00","0,00","17,00","0,00","0,00","54,80",Aceitável,"36,00","43,81","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  45.0
6   2024   12  30.5
7   2025    1  26.0
8   2025    2  36.0
9   2025    3  34.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"71,70","12,78","4,85","7,00","78,60","2,01","7,06","2,55","0,00","0,00","4,00","0,00","0,00","44,46",Marginal,"20,00","30,83","    ano  mes   tci
0  2024   12  30.5
1  2025    1  26.0
2  2025    2  36.0","18,09","8,04","12,02","75,12","2,98","8,61","3,33","0,00","0,00","7,00","0,00","0,00","58,36",Aceitável,"33,00","45,17","    ano  mes   tci
0  2025    3  34.0
1  2025    4  44.0
2  2025    5  57.5","30,03","14,44","21,54","59,13","0,26","13,63","5,59","14,00","0,00","0,00","0,00","0,00","71,70",Muito Bom,"25,00","49,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  40.0
3  2025    6  48.0","20,73","11,41","14,96","71,98","1,98","8,21","3,87","0,00","0,00","6,00","0,00","0,00","68,64",Bom,"26,00","48,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  45.0"
