municipio,municipio,maxtempC,mintempC,humidity,precipMM,windspeedKmph,temp_score,feels_like_score,humidity_score,uv_score,precip_score,wind_score,total_score,normalized_score
Alvito,Alvito,"21,595628415300546","11,040983606557377","75,23770491803279","3,0098360655737704","11,16120218579235",10,0,0,10,0,10,"7,0","700,0"
Amadora,Amadora,"21,2896174863388","13,789617486338798","69,24590163934427","2,4860655737704915","14,081967213114755",10,0,0,10,0,10,"7,0","700,0"
Amarante,Amarante,"21,617486338797814","10,166666666666666","72,24043715846994","4,406830601092897","7,737704918032787",10,0,0,10,0,10,"7,0","700,0"
Amares,Amares,"20,743169398907103","10,551912568306012","73,07650273224044","5,080874316939891","7,7103825136612025",10,0,0,10,0,10,"7,0","700,0"
Anadia,Anadia,"21,636612021857925","11,259562841530055","73,68579234972678","3,7587431693989073","9,3551912568306",10,0,0,10,0,10,"7,0","700,0"
Ansiao,Ansiao,"23,240437158469945","11,439890710382514","69,92896174863388","2,7724043715846998","11,592896174863387",10,0,0,10,0,10,"7,0","700,0"
Arcos de Valdevez,Arcos de Valdevez,"20,721311475409838","10,997267759562842","74,69672131147541","5,006830601092896","8,521857923497267",10,0,0,10,0,10,"7,0","700,0"
Arganil,Arganil,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Viseu,Viseu,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Arouca,Arouca,"21,704918032786885","14,931693989071038","68,49726775956285","2,213934426229508","14,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Arraiolos,Arraiolos,"23,349726775956285","11,467213114754099","69,18032786885246","2,338524590163934","12,136612021857923",10,0,0,10,0,10,"7,0","700,0"
Arronches,Arronches,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Arruda dos Vinhos,Arruda dos Vinhos,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Alenquer,Alenquer,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Azambuja,Azambuja,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Carregal do Sal,Carregal do Sal,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Aljezur,Aljezur,"21,224043715846996","12,37704918032787","70,43715846994536","2,5322404371584697","11,385245901639344",10,0,0,10,0,10,"7,0","700,0"
Cuba,Cuba,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Ferreira do Alentejo,Ferreira do Alentejo,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Alandroal,Alandroal,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Aguiar da Beira,Aguiar da Beira,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Condeixa-a-Nova,Condeixa-a-Nova,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Constancia,Constancia,"23,240437158469945","11,439890710382514","69,92896174863388","2,7724043715846998","11,592896174863387",10,0,0,10,0,10,"7,0","700,0"
Coruche,Coruche,"22,90983606557377","12,002732240437158","71,0","2,442622950819672","12,442622950819672",10,0,0,10,0,10,"7,0","700,0"
Covilha,Covilha,"20,530054644808743","9,210382513661202","67,95081967213115","3,6327868852459013","8,019125683060109",10,0,0,10,0,10,"7,0","700,0"
Crato,Crato,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Castanheira de Pera,Castanheira de Pera,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Elvas,Elvas,"24,316939890710383","12,39344262295082","61,57377049180328","1,860928961748634","11,42896174863388",10,0,0,10,0,10,"7,0","700,0"
Entroncamento,Entroncamento,"22,896174863387976","11,71584699453552","71,96174863387978","2,8614754098360655","11,653005464480874",10,0,0,10,0,10,"7,0","700,0"
Faro,Faro,"21,06830601092896","15,669398907103826","70,27049180327869","2,1259562841530055","15,366120218579235",10,0,0,10,0,10,"7,0","700,0"
Vila Nova de Cerveira,Vila Nova de Cerveira,"20,721311475409838","10,997267759562842","74,69672131147541","5,006830601092896","8,521857923497267",10,0,0,10,0,10,"7,0","700,0"
Esposende,Esposende,"20,37431693989071","11,407103825136613","74,93442622950819","4,607103825136612","9,852459016393443",10,0,0,10,0,10,"7,0","700,0"
Estarreja,Estarreja,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Vila Nova da Barquinha,Vila Nova da Barquinha,"22,896174863387976","11,71584699453552","71,96174863387978","2,8614754098360655","11,653005464480874",10,0,0,10,0,10,"7,0","700,0"
Evora,Evora,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Coimbra,Coimbra,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Cinfaes,Cinfaes,"20,44808743169399","10,224043715846994","72,08743169398907","4,241803278688525","7,609289617486339",10,0,0,10,0,10,"7,0","700,0"
Albufeira,Albufeira,"21,762295081967213","14,663934426229508","70,02732240437159","2,267486338797814","15,114754098360656",10,0,0,10,0,10,"7,0","700,0"
Figueiro dos Vinhos,Figueiro dos Vinhos,"21,595628415300546","11,040983606557377","75,23770491803279","3,0098360655737704","11,16120218579235",10,0,0,10,0,10,"7,0","700,0"
Castelo Branco,Castelo Branco,"22,418032786885245","11,191256830601093","65,42896174863388","2,789071038251366","9,073770491803279",10,0,0,10,0,10,"7,0","700,0"
