municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Cantanhede,"366,00","165,00","20,00","181,00","8,00","60,24","20,99","11,56",Bom
Carrazeda de Ansiaes,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Carregal do Sal,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Cartaxo,"366,00","127,00","43,00","196,00","23,00","54,25","22,91","12,00",Aceitável
Cascais,"366,00","176,00","16,00","174,00","5,00","61,35","19,44","14,90",Bom
Castanheira de Pera,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Castelo Branco,"366,00","83,00","37,00","246,00","47,00","43,35","22,42","11,19",Marginal
Castelo de Paiva,"366,00","100,00","35,00","231,00","19,00","48,88","20,45","10,22",Marginal
Castelo de Vide,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Castro Daire,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Castro Marim,"366,00","148,00","61,00","157,00","2,00","63,33","22,10","14,79",Bom
Castro Verde,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Celorico da Beira,"366,00","76,00","38,00","252,00","8,00","44,96","18,09","8,24",Marginal
Celorico de Basto,"366,00","108,00","36,00","222,00","26,00","49,35","21,62","10,17",Marginal
Chamusca,"366,00","71,00","36,00","259,00","19,00","43,86","17,46","7,49",Marginal
Chaves,"366,00","100,00","24,00","242,00","24,00","46,94","20,73","8,53",Marginal
Cinfaes,"366,00","100,00","35,00","231,00","19,00","48,88","20,45","10,22",Marginal
Coimbra,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Condeixa-a-Nova,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Constancia,"366,00","109,00","38,00","219,00","33,00","49,02","23,24","11,44",Marginal
Coruche,"366,00","127,00","43,00","196,00","23,00","54,25","22,91","12,00",Aceitável
Corvo,"366,00","154,00","15,00","197,00","3,00","55,85","19,54","17,73",Aceitável
Covilha,"366,00","75,00","41,00","250,00","33,00","43,33","20,53","9,21",Marginal
Crato,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Cuba,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Elvas,"366,00","95,00","32,00","239,00","66,00","44,94","24,32","12,39",Marginal
Entroncamento,"366,00","124,00","44,00","198,00","27,00","53,04","22,90","11,72",Aceitável
Espinho,"366,00","163,00","30,00","173,00","3,00","61,59","19,69","12,32",Bom
Esposende,"366,00","145,00","37,00","184,00","10,00","57,41","20,37","11,41",Aceitável
Estarreja,"366,00","139,00","36,00","191,00","16,00","56,76","20,72","11,63",Aceitável
Estremoz,"366,00","93,00","42,00","231,00","43,00","45,51","23,20","11,76",Marginal
Evora,"366,00","93,00","42,00","231,00","43,00","45,51","23,20","11,76",Marginal
Fafe,"366,00","104,00","31,00","231,00","20,00","49,19","19,89","9,81",Marginal
Faro,"366,00","178,00","32,00","156,00","2,00","66,32","21,07","15,67",Bom
Felgueiras,"366,00","104,00","31,00","231,00","20,00","49,19","19,89","9,81",Marginal
Ferreira do Alentejo,"366,00","99,00","38,00","229,00","47,00","47,05","23,85","12,76",Marginal
Ferreira do Zezere,"366,00","121,00","37,00","208,00","24,00","52,16","22,62","11,80",Aceitável
Figueira da Foz,"366,00","167,00","18,00","181,00","4,00","58,70","18,99","13,07",Aceitável
Figueira de Castelo Rodrigo,"366,00","76,00","38,00","252,00","8,00","45,00","18,09","8,24",Marginal
Figueiro dos Vinhos,"366,00","148,00","31,00","187,00","8,00","58,09","21,60","11,04",Aceitável
Fornos de Algodres,"366,00","71,00","36,00","259,00","19,00","43,86","17,46","7,49",Marginal
Freixo de Espada a Cinta,"366,00","79,00","40,00","247,00","11,00","47,59","19,49","8,87",Marginal
Fronteira,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Funchal,"366,00","128,00","19,00","219,00","9,00","55,70","17,67","11,42",Aceitável
Fundao,"366,00","75,00","41,00","250,00","33,00","43,33","20,53","9,21",Marginal
Gaviao,"366,00","131,00","70,00","165,00","5,00","60,19","22,28","14,13",Bom
Gois,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Golega,"366,00","124,00","44,00","198,00","27,00","53,04","22,90","11,72",Aceitável
Gondomar,"366,00","151,00","34,00","181,00","9,00","59,65","20,38","12,46",Aceitável
Gouveia,"366,00","71,00","36,00","259,00","19,00","43,86","17,46","7,49",Marginal
Grandola,"366,00","169,00","32,00","165,00","2,00","61,97","18,80","14,73",Bom
Guarda,"366,00","76,00","38,00","252,00","8,00","44,96","18,09","8,24",Marginal
Guimaraes,"366,00","112,00","36,00","218,00","17,00","51,26","20,90","10,56",Aceitável
Horta,"366,00","160,00","13,00","193,00","8,00","56,72","19,51","17,58",Aceitável
Idanha-a-Nova,"366,00","83,00","37,00","246,00","47,00","43,35","22,42","11,19",Marginal
Ilhavo,"366,00","177,00","19,00","170,00","5,00","61,27","19,39","12,42",Bom
Lagoa,"366,00","141,00","12,00","213,00","5,00","52,81","18,93","16,60",Aceitável
Lagoa [R.A.A.],"366,00","144,00","51,00","171,00","3,00","61,30","21,69","14,29",Bom
Lagos,"366,00","183,00","31,00","152,00","1,00","66,15","20,67","14,74",Bom
Lajes das Flores,"366,00","154,00","15,00","197,00","3,00","55,85","19,54","17,73",Aceitável
Lajes do Pico,"366,00","141,00","12,00","213,00","5,00","52,81","18,93","16,60",Aceitável
Lamego,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Leiria,"366,00","167,00","23,00","176,00","2,00","59,90","20,54","11,84",Aceitável
Lisboa,"366,00","166,00","34,00","166,00","5,00","63,71","21,16","14,00",Bom
Loule,"366,00","117,00","61,00","188,00","8,00","57,09","22,10","14,14",Aceitável
Loures,"366,00","166,00","34,00","166,00","5,00","63,71","21,16","14,00",Bom
Lourinha,"366,00","180,00","15,00","171,00","4,00","62,39","20,78","12,49",Bom
Lousa,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Lousada,"366,00","122,00","35,00","209,00","15,00","53,59","20,59","11,29",Aceitável
Macao,"366,00","109,00","38,00","219,00","33,00","49,02","23,24","11,44",Marginal
Macedo de Cavaleiros,"366,00","81,00","36,00","249,00","9,00","46,84","19,38","7,80",Marginal
Machico,"366,00","210,00","29,00","127,00","3,00","71,67","20,94","16,85",Muito Bom
