01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Azambuja,Município,T4 ou mais,,,, fogos,14
2011,Azambuja,Município,Total,,,, fogos,56
2011,Baião,Município,T0 ou T1,,,, fogos,0
2011,Baião,Município,T2,,,, fogos,5
2011,Baião,Município,T3,,,, fogos,38
2011,Baião,Município,T4 ou mais,,,, fogos,17
2011,Baião,Município,Total,,,, fogos,60
2011,Barcelos,Município,T0 ou T1,,,, fogos,10
2011,Barcelos,Município,T2,,,, fogos,22
2011,Barcelos,Município,T3,,,, fogos,262
2011,Barcelos,Município,T4 ou mais,,,, fogos,83
2011,Barcelos,Município,Total,,,, fogos,377
2011,Barrancos,Município,T0 ou T1,,,, fogos,0
2011,Barrancos,Município,T2,,,, fogos,0
2011,Barrancos,Município,T3,,,, fogos,1
2011,Barrancos,Município,T4 ou mais,,,, fogos,0
2011,Barrancos,Município,Total,,,, fogos,1
2011,Barreiro,Município,T0 ou T1,,,, fogos,2
2011,Barreiro,Município,T2,,,, fogos,26
2011,Barreiro,Município,T3,,,, fogos,39
2011,Barreiro,Município,T4 ou mais,,,, fogos,29
2011,Barreiro,Município,Total,,,, fogos,96
2011,Batalha,Município,T0 ou T1,,,, fogos,4
2011,Batalha,Município,T2,,,, fogos,19
2011,Batalha,Município,T3,,,, fogos,39
2011,Batalha,Município,T4 ou mais,,,, fogos,18
2011,Batalha,Município,Total,,,, fogos,80
2011,Beja,Município,T0 ou T1,,,, fogos,17
2011,Beja,Município,T2,,,, fogos,14
2011,Beja,Município,T3,,,, fogos,13
2011,Beja,Município,T4 ou mais,,,, fogos,14
2011,Beja,Município,Total,,,, fogos,58
2011,Belmonte,Município,T0 ou T1,,,, fogos,1
2011,Belmonte,Município,T2,,,, fogos,1
2011,Belmonte,Município,T3,,,, fogos,6
2011,Belmonte,Município,T4 ou mais,,,, fogos,4
2011,Belmonte,Município,Total,,,, fogos,12
2011,Benavente,Município,T0 ou T1,,,, fogos,2
2011,Benavente,Município,T2,,,, fogos,8
2011,Benavente,Município,T3,,,, fogos,31
2011,Benavente,Município,T4 ou mais,,,, fogos,11
2011,Benavente,Município,Total,,,, fogos,52
2011,Bombarral,Município,T0 ou T1,,,, fogos,1
2011,Bombarral,Município,T2,,,, fogos,1
2011,Bombarral,Município,T3,,,, fogos,9
2011,Bombarral,Município,T4 ou mais,,,, fogos,8
