01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Almeirim,Município,35-44,,,,,195.3
2009,Almeirim,Município,45-54,,,,,195.3
2009,Almeirim,Município,55 ou mais anos,,,,,272.8
2009,Almeirim,Município,Menos de 25 anos,,,,,99.1
2009,Almeirim,Município,Total,,,,,1002.4
2009,Almodôvar,Município,25-34,,,,,85.7
2009,Almodôvar,Município,35-44,,,,,76.9
2009,Almodôvar,Município,45-54,,,,,102.8
2009,Almodôvar,Município,55 ou mais anos,,,,,149.8
2009,Almodôvar,Município,Menos de 25 anos,,,,,67.7
2009,Almodôvar,Município,Total,,,,,482.9
2009,Alpiarça,Município,25-34,,,,,60.8
2009,Alpiarça,Município,35-44,,,,,56.8
2009,Alpiarça,Município,45-54,,,,,64.8
2009,Alpiarça,Município,55 ou mais anos,,,,,112.4
2009,Alpiarça,Município,Menos de 25 anos,,,,,33.8
2009,Alpiarça,Município,Total,,,,,328.4
2009,Alter do Chão,Município,25-34,,,,,39.8
2009,Alter do Chão,Município,35-44,,,,,28.8
2009,Alter do Chão,Município,45-54,,,,,18.0
2009,Alter do Chão,Município,55 ou mais anos,,,,,17.9
2009,Alter do Chão,Município,Menos de 25 anos,,,,,25.7
2009,Alter do Chão,Município,Total,,,,,130.2
2009,Alvaiázere,Município,25-34,,,,,58.8
2009,Alvaiázere,Município,35-44,,,,,46.0
2009,Alvaiázere,Município,45-54,,,,,46.6
2009,Alvaiázere,Município,55 ou mais anos,,,,,41.3
2009,Alvaiázere,Município,Menos de 25 anos,,,,,41.8
2009,Alvaiázere,Município,Total,,,,,234.4
2009,Alvito,Município,25-34,,,,,19.5
2009,Alvito,Município,35-44,,,,,13.8
2009,Alvito,Município,45-54,,,,,13.2
2009,Alvito,Município,55 ou mais anos,,,,,16.1
2009,Alvito,Município,Menos de 25 anos,,,,,13.3
2009,Alvito,Município,Total,,,,,75.8
2009,Amadora,Município,25-34,,,,,2017.1
2009,Amadora,Município,35-44,,,,,1931.8
2009,Amadora,Município,45-54,,,,,1904.2
2009,Amadora,Município,55 ou mais anos,,,,,1807.8
2009,Amadora,Município,Menos de 25 anos,,,,,869.2
2009,Amadora,Município,Total,,,,,8530.0
2009,Amarante,Município,25-34,,,,,783.4
2009,Amarante,Município,35-44,,,,,983.1
2009,Amarante,Município,45-54,,,,,834.6
2009,Amarante,Município,55 ou mais anos,,,,,597.5
2009,Amarante,Município,Menos de 25 anos,,,,,582.5
2009,Amarante,Município,Total,,,,,3781.1
2009,Amares,Município,25-34,,,,,240.1
2009,Amares,Município,35-44,,,,,215.3
2009,Amares,Município,45-54,,,,,195.1
2009,Amares,Município,55 ou mais anos,,,,,141.3
2009,Amares,Município,Menos de 25 anos,,,,,123.0
2009,Amares,Município,Total,,,,,914.8
2009,Anadia,Município,25-34,,,,,263.3
2009,Anadia,Município,35-44,,,,,208.1
2009,Anadia,Município,45-54,,,,,231.8
2009,Anadia,Município,55 ou mais anos,,,,,222.1
2009,Anadia,Município,Menos de 25 anos,,,,,158.6
2009,Anadia,Município,Total,,,,,1083.9
2009,Angra do Heroísmo,Município,25-34,,,,x,
2009,Angra do Heroísmo,Município,35-44,,,,x,
2009,Angra do Heroísmo,Município,45-54,,,,x,
2009,Angra do Heroísmo,Município,55 ou mais anos,,,,x,
2009,Angra do Heroísmo,Município,Menos de 25 anos,,,,x,
2009,Angra do Heroísmo,Município,Total,,,,x,
2009,Ansião,Município,25-34,,,,,104.2
2009,Ansião,Município,35-44,,,,,100.3
2009,Ansião,Município,45-54,,,,,115.8
2009,Ansião,Município,55 ou mais anos,,,,,131.3
2009,Ansião,Município,Menos de 25 anos,,,,,78.8
2009,Ansião,Município,Total,,,,,530.4
2009,Arcos de Valdevez,Município,25-34,,,,,182.2
2009,Arcos de Valdevez,Município,35-44,,,,,165.0
2009,Arcos de Valdevez,Município,45-54,,,,,171.8
2009,Arcos de Valdevez,Município,55 ou mais anos,,,,,110.3
2009,Arcos de Valdevez,Município,Menos de 25 anos,,,,,161.8
2009,Arcos de Valdevez,Município,Total,,,,,790.9
2009,Arganil,Município,25-34,,,,,82.8
2009,Arganil,Município,35-44,,,,,81.0
2009,Arganil,Município,45-54,,,,,89.7
2009,Arganil,Município,55 ou mais anos,,,,,69.2
2009,Arganil,Município,Menos de 25 anos,,,,,59.8
2009,Arganil,Município,Total,,,,,382.3
2009,Armamar,Município,25-34,,,,,59.8
2009,Armamar,Município,35-44,,,,,64.3
2009,Armamar,Município,45-54,,,,,60.8
2009,Armamar,Município,55 ou mais anos,,,,,39.6
2009,Armamar,Município,Menos de 25 anos,,,,,40.3
2009,Armamar,Município,Total,,,,,264.9
2009,Arouca,Município,25-34,,,,,153.1
2009,Arouca,Município,35-44,,,,,146.4
2009,Arouca,Município,45-54,,,,,159.5
2009,Arouca,Município,55 ou mais anos,,,,,108.0
2009,Arouca,Município,Menos de 25 anos,,,,,143.0
2009,Arouca,Município,Total,,,,,710.0
2009,Arraiolos,Município,25-34,,,,,52.5
2009,Arraiolos,Município,35-44,,,,,52.2
2009,Arraiolos,Município,45-54,,,,,42.6
2009,Arraiolos,Município,55 ou mais anos,,,,,47.6
2009,Arraiolos,Município,Menos de 25 anos,,,,,42.2
2009,Arraiolos,Município,Total,,,,,237.0
2009,Arronches,Município,25-34,,,,,27.5
2009,Arronches,Município,35-44,,,,,20.3
2009,Arronches,Município,45-54,,,,,17.8
2009,Arronches,Município,55 ou mais anos,,,,,14.8
2009,Arronches,Município,Menos de 25 anos,,,,,21.2
2009,Arronches,Município,Total,,,,,101.6
2009,Arruda dos Vinhos,Município,25-34,,,,,105.2
2009,Arruda dos Vinhos,Município,35-44,,,,,80.2
2009,Arruda dos Vinhos,Município,45-54,,,,,65.3
2009,Arruda dos Vinhos,Município,55 ou mais anos,,,,,60.8
2009,Arruda dos Vinhos,Município,Menos de 25 anos,,,,,46.8
2009,Arruda dos Vinhos,Município,Total,,,,,358.3
2009,Aveiro,Município,25-34,,,,,1040.4
2009,Aveiro,Município,35-44,,,,,771.5
2009,Aveiro,Município,45-54,,,,,726.5
2009,Aveiro,Município,55 ou mais anos,,,,,508.3
2009,Aveiro,Município,Menos de 25 anos,,,,,604.7
2009,Aveiro,Município,Total,,,,,3651.3
2009,Avis,Município,25-34,,,,,44.7
2009,Avis,Município,35-44,,,,,45.0
2009,Avis,Município,45-54,,,,,51.9
