;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
0;Município;Norte;Arcos de Valdevez;1988;12099;6770;9,5;58,0;32,5;0;6;10;4;3;3;23;1;891,9;4,5;68,6;29,2;6;41,8471981;-8,417882;Arcos de Valdevez, Viana do Castelo, Portugal;353,9182921676544;79,15045837351244;3,8;408,6;1,1;99,7;18,0;21;20
10;Município;Norte;Amares;2219;12408;3483;12,3;68,5;19,2;1;4;7;6;1;2;0;0;932,6;4,9;71,9;24,0;3;41,6309663;-8,351059900000001;Amares, Braga, Portugal;331,40850392235774;57,7212917692733;3,7;378,7;0,9;69,7;18,0;20;20
49;Município;Norte;Castelo de Paiva;1871;10492;3016;12,2;68,2;19,6;0;4;19;13;2;2;2;0;853,0;6,4;68,1;16,4;3;41,0410042;-8,271775;Castelo de Paiva, Aveiro, Portugal;269,4194017024103;30,923527445641536;3,3;334,2;0,8;55,0;18,0;19;19
4;Município;Norte;Paredes de Coura;942;5186;2376;11,1;61,0;27,9;0;3;5;1;1;1;31;1;954,2;5,9;67,3;24,9;3;41,9133898;-8,56396258432304;Paredes de Coura, Viana do Castelo, Portugal;359,26637863291734;84,93616957048665;4,0;424,6;1,3;115,6;18,0;17;19
51;Município;Norte;Cinfaes;2153;11712;4258;11,9;64,6;23,5;0;8;11;11;2;3;1;0;919,2;7,9;59,4;19,5;3;41,0326553;-8,108008158498851;Cinfães, Viseu, Portugal;272,720757615121;44,189674102784814;3,8;359,4;1,3;78,8;18,0;19;19
67;Município;Norte;Peso da Regua;1678;10315;3738;10,7;65,6;23,8;0;7;8;2;1;2;1;1;982,1;10,0;82,9;18,6;7;41,16370429999999;-7,7875821;Peso da Régua, Vila Real, Portugal;296,0576437162353;69,114320312798;3,5;358,3;1,2;115,8;15,0;20;19
48;Município;Norte;Baiao;2069;12512;4081;11,1;67,0;21,9;0;6;16;5;3;3;0;0;866,5;9,2;59,5;18,5;3;41,16930605;-7,977295769675544;Baião, Porto, Portugal;290,713305623472;53,21600851933825;3,6;372,4;0,9;70,2;23,0;18;18
50;Município;Norte;Celorico de Basto;2101;12932;3939;11,1;68,2;20,8;0;5;16;4;3;4;0;0;794,4;6,1;57,5;19,1;4;41,38793629999999;-8,0002089;Celorico de Basto, Braga, Portugal;312,9880611764312;57,61107071333164;3,7;380,9;1,0;78,7;26,0;19;18
16;Município;Norte;Cabeceiras de Basto;1916;10591;3070;12,3;68,0;19,7;0;4;10;7;2;3;0;0;809,3;6,7;66,5;21,8;5;41,51363920000001;-7,9878132;Cabeceiras de Basto, Braga, Portugal;326,5789396126248;65,99689778504744;3,8;403,0;1,0;93,5;14,0;20;18
45;Município;Norte;Valpacos;1250;8242;5241;8,5;55,9;35,6;0;7;8;4;2;2;0;0;872,1;6,0;61,2;27,4;7;41,6067883;-7,310852499999999;Valpaços, Vila Real, Portugal;357,4905857892624;120,01859020108374;4,3;442,0;1,7;163,2;21,0;17;17
58;Município;Norte;Alijo;1027;6267;3283;9,7;59,3;31,0;0;8;9;6;2;2;0;0;921,8;9,5;64,5;19,8;3;41,2768619;-7,4753795;Alijó, Vila Real, Portugal;318,57528500718075;96,2643166142307;4,0;409,2;1,4;130,3;15,0;17;17
79;Município;Norte;Macedo de Cavaleiros;1288;8561;4619;8,9;59,2;31,9;1;4;8;4;1;1;0;0;892,9;6,7;73,8;23,2;8;41,5362124;-6,956026700000001;Macedo de Cavaleiros, Bragança, Portugal;364,91367886689767;145,00484863701547;4,6;462,4;2,0;184,3;16,0;16;17
3;Município;Norte;Moncao;1693;10844;5262;9,5;60,9;29,6;0;6;6;4;2;4;18;1;891,6;3,9;71,3;17,8;6;42,027944700000006;-8,417367176526596;Monção, Viana do Castelo, Portugal;373,70217738699057;98,89401010552308;4,2;442,6;1,5;133,6;13,0;19;17
83;Município;Norte;Vila Flor;545;3632;1851;9,0;60,3;30,7;0;2;9;5;1;1;5;1;890,3;7,9;62,9;32,7;2;41,3067941;-7,1517712;Vila Flor, Bragança, Portugal;334,64252002311764;123,57066944605214;4,1;429,9;1,7;158,0;26,0;16;16
44;Município;Norte;Ribeira de Pena;624;3738;1641;10,4;62,3;27,3;0;2;4;2;2;2;0;0;1233,3;7,9;63,9;21,2;2;41,51965070000001;-7,793694199999999;Ribeira de Pena, Vila Real, Portugal;332,53937670343095;79,8031539150688;3,9;413,7;1,1;104,2;15,0;16;16
