;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
115;Fundao;10,0;12,0;16,0;17,0;22,0;28,0;31,0;33,0;26,0;23,0;15,5;13,0
116;Gaviao;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;15,0;14,0
117;Gois;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
118;Golega;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;19,0;17,0
119;Gondomar;13,0;14,5;18,0;19,0;20,0;23,5;24,0;26,0;25,0;23,0;17,0;15,0
120;Gouveia;14,0;15,0;15,0;18,0;20,0;25,5;23,0;24,0;24,0;21,0;19,0;17,0
121;Grandola;13,0;15,5;16,0;18,0;19,0;20,0;22,0;23,0;25,0;23,0;19,0;17,0
122;Guarda;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
123;Guimaraes;12,0;13,0;18,0;19,5;20,0;26,0;29,0;31,0;27,5;22,0;16,5;14,0
124;Horta;17,0;15,0;16,0;16,0;17,0;20,0;22,0;23,0;22,0;22,0;20,0;18,0
125;Idanha-a-Nova;11,0;13,5;18,0;19,0;25,0;30,5;34,0;35,0;29,0;25,0;17,0;15,0
126;Ilha Graciosa;13,0;14,0;18,0;20,0;20,0;25,0;25,0;28,0;26,0;23,0;17,5;15,5
127;Ilha Terceira;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,5;17,0
128;Ilha da Madeira;14,0;16,0;17,0;18,0;22,0;23,0;26,0;26,0;26,0;25,0;20,0;18,0
129;Ilha das Flores;31,0;33,0;32,0;31,0;28,0;27,0;27,0;27,0;30,0;33,0;35,0;34,0
130;Ilha de Porto Santo;13,0;14,0;17,0;18,0;18,0;20,5;22,0;23,0;23,0;22,0;17,0;15,0
131;Ilha de Santa Maria;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,5;17,0
132;Ilha de Sao Jorge;13,0;14,5;13,0;19,0;17,0;22,5;25,0;23,0;22,0;23,0;17,0;16,0
133;Ilha de Sao Miguel;13,0;15,0;18,0;20,5;23,0;28,0;29,0;32,0;29,0;25,0;18,0;16,5
134;Ilha do Corvo;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;19,0;17,0
135;Ilha do Faial;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
