;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
140;Município;Centro;Castro Daire;1410;8360;4050;10,2;60,5;29,3;0;5;13;12;2;3;6;0;877,0;6,6;66,0;17,2;6;40,9014091;-7,9311761;Castro Daire, Viseu, Portugal;264,5282387914053;63,44854437853289;3,2;322,2;1,6;151,6;21,0;20;21
107;Município;Centro;Sever do Vouga;1126;7121;3066;9,9;63,0;27,1;0;5;11;10;1;1;6;0;1050,9;3,2;75,7;24,8;5;40,732462700000006;-8,371094;Sever do Vouga, Aveiro, Portugal;234,1850145620564;50,515564929517325;2,8;279,8;1,0;71,3;20,0;20;21
94;Município;Centro;Obidos;1502;7554;2881;12,6;63,3;24,1;0;5;11;3;3;1;1;0;1008,1;3,7;75,9;21,4;2;39,3619514;-9,157153;Óbidos, Leiria, Portugal;72,64865752718285;203,85183089711404;1,1;85,2;2,3;240,7;;19;21
90;Município;Centro;Cadaval;1619;8478;3607;11,8;61,9;26,3;0;5;11;10;1;1;0;0;974,0;4,3;72,4;23,6;2;39,2395742;-9,062203105766496;Cadaval, Lisboa, Portugal;59,39125688994852;215,52407018239708;1,0;75,2;2,4;256,5;27,0;20;21
115;Município;Centro;Lousa;2343;11406;3469;13,6;66,2;20,1;0;4;7;4;2;2;8;0;1000,7;5,0;80,7;20,0;6;40,1284737;-8,231637793854821;Lousã, Coimbra, Portugal;175,93152028314827;117,825397219269;2,2;209,9;1,6;157,7;20,0;21;21
96;Município;Centro;Sobral de Monte Agraco;1530;7279;1934;14,2;67,8;18,0;0;3;5;3;1;1;9;1;970,4;3,1;97,0;35,5;3;39,01835;-9,15171;Sobral de Monte Agraço, Lisboa, Portugal;34,505477169348225;241,08334085489813;0,8;45,5;2,7;285,8;22,0;21;21
166;Município;Centro;Serta;1523;8831;4218;10,4;60,6;28,9;0;4;10;8;2;2;0;1;898,2;5,4;75,7;24,2;8;39,805214500000005;-8,096441;Sertã, Castelo Branco, Portugal;151,34236656832843;155,50965697224285;2,1;189,8;1,9;194,7;32,0;19;20
129;Município;Centro;Ansiao;1153;7581;3316;9,6;62,9;27,5;1;5;10;6;2;2;23;0;939,7;3,4;74,2;13,9;5;39,9113771;-8,435985699999998;Ansião, Leiria, Portugal;146,65386617683671;138,27714486048686;1,9;186,0;1,6;169,1;;21;20
160;Município;Centro;Constancia;508;2654;879;12,6;65,7;21,8;1;3;3;3;1;1;0;0;1262,8;5,1;81,6;16,8;1;39,4750609;-8,338189999999999;Constância, Santarém, Portugal;109,6692533053695;187,36345609869588;1,4;130,7;2,1;221,9;34,0;19;20
125;Município;Centro;Soure;1791;10108;5189;10,5;59,2;30,4;0;9;15;11;2;2;0;0;1007,6;4,3;71,9;15,6;2;40,0595032;-8,626389699999999;Soure, Coimbra, Portugal;156,37963188825648;121,04186837895048;1,8;183,2;1,4;143,1;28,0;19;19
178;Município;Centro;Gouveia;1104;7115;4156;8,9;57,5;33,6;0;7;12;8;2;3;14;0;894,6;6,0;67,0;25,5;4;40,49773625;-7,595845584129107;Gouveia, Guarda, Portugal;238,7522246434204;112,1083383804928;3,4;312,4;1,9;168,5;20,0;19;19
126;Município;Centro;Tabua;1263;7396;2735;11,1;64,9;24,0;0;5;10;3;2;2;13;1;919,1;5,8;69,6;25,1;2;40,3602946;-8,0284641;Tábua, Coimbra, Portugal;206,728959668138;100,48869188178908;2,6;260,0;1,7;162,2;12,0;18;19
118;Município;Centro;Miranda do Corvo;1285;8594;2832;10,1;67,6;22,3;0;3;9;8;2;2;6;1;881,4;3,4;67,9;16,2;2;40,094151700000005;-8,333655499999999;Miranda do Corvo, Coimbra, Portugal;168,7445039653123;119,51032585747473;2,0;198,6;1,4;146,4;31,0;19;18
89;Município;Centro;Bombarral;1491;8049;3082;11,8;63,8;24,4;0;4;5;2;1;1;4;0;934,5;4,1;82,0;21,3;5;39,2667959;-9,1583288;Bombarral, Bombarral e Vale Covo, Bombarral, Leiria, 2540-052, Portugal;62,09110526560094;214,1801421197861;1,0;73,1;2,3;249,6;18,0;18;18
146;Município;Centro;Sao Pedro do Sul;1520;9402;4491;9,9;61,0;29,1;0;9;11;9;2;3;1;0;837,6;6,3;69,5;15,8;3;40,83283595;-8,102562296809872;São Pedro do Sul, Viseu, Portugal;252,0277943501207;55,3640523327871;3,1;311,0;1,3;112,2;21,0;18;18
183;Município;Centro;Sabugal;822;5861;3873;7,8;55,5;36,7;0;9;6;7;2;2;2;0;883,7;4,5;64,4;19,0;7;40,40349495;-7,050143753400468;Sabugal, Guarda, Portugal;259,986844753363;155,6225138995643;3,3;322,2;2,5;233,9;14,0;17;17
157;Município;Centro;Vila Velha de Rodao;191;1757;1196;6,1;55,9;38,1;0;1;1;1;1;1;0;1;1251,3;3,8;74,2;29,9;1;39,6545418;-7,6723114;Vila Velha de Ródão, Castelo Branco, 6030-210, Portugal;164,48305597400034;184,1229468112882;2,0;207,3;2,4;241,3;27,0;17;17
185;Município;Centro;Trancoso;744;5381;2762;8,4;60,5;31,1;0;6;6;5;2;3;0;1;946,2;3,1;68,0;19,1;6;40,7976691;-7,341184703780763;Trancoso, Guarda, Portugal;278,4075421504547;113,77678888103571;3,4;352,3;2,0;201,0;18,0;17;17
104;Município;Centro;Murtosa;1400;6808;2135;13,5;65,8;20,6;0;4;6;4;2;2;0;0;924,0;3,5;71,5;25,8;4;40,7367759;-8,638451;Murtosa, Aveiro, Portugal;229,29285885346425;45,88791199677564;2,7;278,5;0,7;59,0;18,0;17;17
117;Município;Centro;Mira;1382;7347;3127;11,7;62,0;26,4;0;6;8;8;1;1;0;0;942,5;4,4;73,0;30,8;3;40,4457827;-8,748207344206268;Mira, Coimbra, Portugal;195,830993868584;78,99822131835123;2,2;226,4;1,0;98,8;24,0;16;17
120;Município;Centro;Mortagua;876;5212;2723;9,9;59,2;30,9;0;4;2;1;1;2;2;0;1037,8;2,9;77,2;21,5;4;40,397248600000005;-8,2287169;Mortágua, Viseu, Portugal;203,15758171685556;89,54284620390507;2,5;249,2;1,4;124,4;12,0;17;17
