
Quadro extraído em 28 de Julho de 2025 (19:30:24)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;
;Período de referência dos dados;;
;2.º Semestre de 2024;1.º Semestre de 2024;
;? ;? ;
1910114: Oliveira do Bairro;5,33;4,94;
1910115: Ovar;6,19;5,78;
1910117: Sever do Vouga;3,85;3,6;
1910118: Vagos;5,97;5,44;
192: Região de Coimbra;6,07;5,88;
1920601: Arganil;4,66;3,81;
1920602: Cantanhede;4,76;4,39;
1920603: Coimbra;7,76;7,41;
1920604: Condeixa-a-Nova;5,51;5,43;
1920605: Figueira da Foz;7,14;6,95;
1920606: Góis;- -;- -;
1920607: Lousã;4,78;4,49;
1920111: Mealhada;4,97;4,65;
1920608: Mira;4,58;3,82;
1920609: Miranda do Corvo;5,22;4,51;
1920610: Montemor-o-Velho;4,98;4,67;
1921808: Mortágua;3,46;3,2;
1920611: Oliveira do Hospital;3,81;3,6;
1920612: Pampilhosa da Serra;- -;- -;
1920613: Penacova;3,72;3,74;
1920614: Penela;- -;- -;
1920615: Soure;4,41;3,89;
1920616: Tábua;3,85;3,75;
1920617: Vila Nova de Poiares;3,77;3,65;
193: Região de Leiria;5,7;5,6;
1931002: Alvaiázere;- -;- -;
1931003: Ansião;3,65;3,45;
1931004: Batalha;6,05;5,95;
1931007: Castanheira de Pêra;- -;- -;
1931008: Figueiró dos Vinhos;- -;- -;
1931009: Leiria;6,42;6,25;
1931010: Marinha Grande;5,68;5,48;
1931013: Pedrógão Grande;- -;- -;
1931015: Pombal;4,76;4,76;
1931016: Porto de Mós;4,22;4,23;
194: Viseu Dão Lafões;5;4,89;
1940901: Aguiar da Beira;- -;- -;
1941802: Carregal do Sal;3,79;3,78;
1941803: Castro Daire;3,4;3,46;
1941806: Mangualde;4,29;4,08;
1941809: Nelas;3,91;3,55;
1941810: Oliveira de Frades;4,2;4,14;
1941811: Penalva do Castelo;- -;- -;
