,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
82,Norte,Tabuaço,41.1162713,-7.5674579,ChIJzQfftypaOw0RQ2k2RLu6nXc,Portugal,Viseu District,Tabuaço,"5120 Tabuaço, Portugal",144,01:49:00,216,04:05:00,379,04:05:00,383,05:20:00
83,Norte,Tarouca,41.0174461,-7.775003600000001,ChIJ4SgMelNVIw0RJKrrCGIMuwY,Portugal,Viseu District,Tarouca,"3610 Tarouca, Portugal",136,01:33:00,Não disponível,00:00:00,344,03:37:00,Não disponível,00:00:00
84,Norte,Torre de Moncorvo,41.1742164,-7.0534405,ChIJb3ZtAE6COw0RPHYMlE8GwMs,Portugal,Bragança,Torre de Moncorvo,"5160 Torre de Moncorvo, Portugal",191,02:05:00,187,02:30:00,406,04:06:00,528,06:00:00
85,Norte,Vila Nova de Foz Côa,41.0822466,-7.1403598,ChIJ4XDAR6p_Ow0RdeVzTlUUieQ,Portugal,Guarda District,Vila Nova de Foz Côa,"5150 Vila Nova de Foz Côa, Portugal",199,02:13:00,171,03:22:00,388,03:53:00,507,06:52:00
86,Norte,Vila Real,41.3011532,-7.7409832,ChIJL_SzFKlLOw0RA3aSE13pF0w,Portugal,Vila Real District,Vila Real,"5000 Vila Real, Portugal",97.2,01:08:00,119,02:15:00,382,03:53:00,424,05:50:00
88,Norte,Alfândega da Fé,41.344363,-6.9601807,ChIJY08MQgiZOw0RYkYM6otCv48,Portugal,Bragança District,Alfândega da Fé,"5350 Alfândega da Fé, Portugal",183,01:58:00,202,02:30:00,428,04:21:00,520,07:00:00
89,Norte,Bragança,41.8061131,-6.756737999999999,ChIJR8I_LP1JOg0RHBm9CtWaNtc,Portugal,Bragança District,Bragança,"5300 Bragança, Portugal",210,02:11:00,216,02:35:00,485,04:53:00,537,06:30:00
90,Norte,Macedo de Cavaleiros,41.5370005,-6.9617993,ChIJOYF9XqalOw0RyfFJLJS7zDg,Portugal,Bragança,Macedo de Cavaleiros,"5340 Macedo de Cavaleiros, Portugal",176,01:52:00,173,02:00:00,452,04:34:00,494,05:55:00
91,Norte,Miranda do Douro,41.4995412,-6.2712311,ChIJS0UQYmNmOQ0RCUdpzDlHbqs,Portugal,Bragança District,Miranda do Douro,"5210 Miranda do Douro, Portugal",261,02:46:00,292,04:30:00,506,05:09:00,633,08:00:00
92,Norte,Mirandela,41.4853545,-7.180871100000001,ChIJgSGFNM0OOw0RP7WRmCCEMu4,Portugal,Bragança District,Mirandela,"5370 Mirandela, Portugal",151,01:38:00,146,01:35:00,426,04:20:00,Não disponível,00:00:00
93,Norte,Mogadouro,41.3426456,-6.7099863,ChIJg7_is3XrOw0RR5OW4oe2DwQ,Portugal,Bragança District,Mogadouro,"5200 Mogadouro, Portugal",217,02:18:00,242,03:45:00,462,04:41:00,584,07:15:00
94,Norte,Vila Flor,41.31888560000001,-7.1574784,ChIJq3OnZSN0Ow0RcVq_qDdp_mI,Portugal,Bragança District,Vila Flor,"Vila Flor, 5360, Portugal",162,01:46:00,163,02:35:00,430,04:23:00,504,06:05:00
95,Norte,Vimioso,41.5844451,-6.529121099999999,ChIJJfnFQI_QOw0RJNcHN9-0ecc,Portugal,Bragança District,Vimioso,"5230 Vimioso, Portugal",227,02:34:00,249,03:20:00,499,05:11:00,564,07:05:00
96,Norte,Vinhais,41.8307225,-7.009300499999999,ChIJ6X9VQdNQOg0Rh-3d8Fg4QH4,Portugal,Bragança,Vinhais,"5320 Vinhais, Portugal",206,02:19:00,257,03:46:00,481,05:01:00,571,07:41:00
99,Centro,Alcobaça,39.5503343,-8.9730531,ChIJDxLPS8qlGA0Rk5T5ZnW2A3w,Portugal,Leiria District,Alcobaça,"2460 Alcobaça, Portugal",212,02:02:00,242,04:10:00,121,01:26:00,134,01:55:00
100,Centro,Alenquer,39.0927696,-9.0571089,ChIJq5CWW1_QGA0RgDaQ5L3rAAQ,Portugal,Lisbon,Alenquer,"Alenquer, 2580, Portugal",288,02:46:00,Não disponível,00:00:00,52.3,00:54:00,Não disponível,00:00:00
101,Centro,Arruda dos Vinhos,38.9829298,-9.0776401,ChIJJ8_Fc0bWGA0Rtl9iRJGMVNE,Portugal,Lisbon,Arruda dos Vinhos,"2630 Arruda dos Vinhos, Portugal",290,02:40:00,328,04:39:00,35.7,00:38:00,52.4,01:25:00
102,Centro,Bombarral,39.2680991,-9.1585113,ChIJ0Sp4VB3LGA0RkNeQ5L3rAAU,Portugal,Leiria District,Bombarral,"2540 Bombarral, Portugal",252,02:22:00,413,06:04:00,72.1,00:57:00,92.7,01:52:00
103,Centro,Cadaval,39.2433402,-9.1027805,ChIJqSLvTdjLGA0RgxlstooFBg0,Portugal,Lisbon,Cadaval,"2550 Cadaval, Portugal",255,02:27:00,Não disponível,00:00:00,74.9,01:05:00,Não disponível,00:00:00
104,Centro,Caldas da Rainha,39.4061871,-9.1348206,ChIJ0aKCoFCyGA0RnPyOjo0ZmrM,Portugal,Leiria District,Caldas da Rainha,"2500 Caldas da Rainha, Portugal",232,02:12:00,252,04:35:00,92.9,01:11:00,224,05:20:00
105,Centro,Lourinhã,39.2425234,-9.3132718,ChIJ4RpKTWo2Hw0RI5CL2x_d4vg,Portugal,Lisbon,Lourinhã,"2530 Lourinhã, Portugal",266,02:35:00,308,12:45:00,69.3,01:04:00,78.8,01:10:00
106,Centro,Nazaré,39.6015562,-9.0677509,ChIJF9RqLyOoGA0RbxBCr3HY0gM,Portugal,Leiria District,Nazaré,"2450 Nazaré, Portugal",213,02:04:00,227,03:15:00,121,01:28:00,118,01:50:00
107,Centro,Óbidos,39.3572399,-9.1578614,ChIJxd4e7560GA0RsztNs4piChc,Portugal,Leiria District,Óbidos Municipality,"2510 Óbidos, Portugal",239,02:14:00,426,06:20:00,83.7,01:03:00,106,02:04:00
108,Centro,Peniche,39.3603291,-9.387622,ChIJRaEFmMRFHw0R82uVoJb1yiY,Portugal,Leiria District,Peniche,"2520 Peniche, Portugal",262,02:32:00,290,04:25:00,102,01:19:00,96.5,01:35:00
