,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address
127,Centro,Condeixa-a-Nova,40.1141535,-8.498116399999999,ChIJNfSvmYlYIg0RHvcLdyfOl7o,Portugal,Coimbra District,Condeixa-a-Nova,"3150 Condeixa-a-Nova, Portugal"
128,Centro,Figueira da Foz,40.1521398,-8.857583,ChIJQZzvPeA3Ig0R3vSp3Zgijoc,Portugal,Coimbra District,Figueira da Foz,"Figueira da Foz, Portugal"
129,Centro,Góis,40.1572681,-8.1106277,ChIJO9qbDsPCIg0RuAVP_7me6Ik,Portugal,Coimbra,Góis,"3330 Góis, Portugal"
130,Centro,Lousã,40.1125621,-8.2468738,ChIJSRZnapLuIg0RC1_Pb1ei8Pg,Portugal,Coimbra District,Lousã,"3200 Lousã, Portugal"
131,Centro,Mealhada,40.3807921,-8.449581400000001,ChIJR-YCNuIAIw0RTR84g-Gs3OI,Portugal,Aveiro District,Mealhada,"3050 Mealhada Municipality, Portugal"
132,Centro,Mira,40.4287977,-8.738126099999999,ChIJ48CixzGxIw0RZxIi4ZpGt9g,Portugal,Coimbra District,Mira,"3070 Mira, Portugal"
133,Centro,Miranda do Corvo,40.09019809999999,-8.329640099999999,ChIJUYuUnQPyIg0RdUcRSEcvtC0,Portugal,Coimbra District,Miranda do Corvo,"3220 Miranda do Corvo, Portugal"
134,Centro,Montemor-o-Velho,40.1748245,-8.6826636,ChIJJXc86jJOIg0RId6vdwipsas,Portugal,Coimbra District,Montemor-o-Velho,"3140 Montemor-o-Velho, Portugal"
135,Centro,Mortágua,40.3971448,-8.2309134,ChIJh-w3SSMcIw0R3KA8OV7XRb8,Portugal,Viseu District,Mortágua,"3450 Mortágua, Portugal"
136,Centro,Oliveira do Hospital,40.3608614,-7.862203200000001,ChIJibZBbe7VIg0RuuqGFr9jhcA,Portugal,Coimbra District,Oliveira do Hospital,"3400 Oliveira do Hospital, Portugal"
137,Centro,Pampilhosa da Serra,40.0463704,-7.949715499999999,ChIJAQ_qlwzIIg0RuuzdAXACZjc,Portugal,Coimbra District,Pampilhosa da Serra,"3320 Pampilhosa da Serra, Portugal"
138,Centro,Penacova,40.2704883,-8.28054,ChIJr7nFUgzjIg0Rcjhnv2dwK0E,Portugal,Coimbra District,Penacova,"3360 Penacova, Portugal"
139,Centro,Penela,40.0282938,-8.390568499999999,ChIJtRCLwmfzIg0RXhR8JneJUj8,Portugal,Coimbra,Penela,"3230 Penela, Portugal"
