01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2008,Letónia,,,04. Sequestro,,, crimes,,3
2008,Letónia,,,05. Violência sexual,,, crimes,x,
2008,Letónia,,,06. Violação,,, crimes,,100
2008,Letónia,,,07. Assédio sexual,,, crimes,x,
2008,Letónia,,,08. Roubo,,, crimes,,1441
2008,Letónia,,,09. Arrombamento,,, crimes,,2817
2008,Letónia,,,10. Roubo em residências particulares,,, crimes,,1717
2008,Letónia,,,11. Furto,,, crimes,,25844
2008,Letónia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,2205
2008,Letónia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,2512
2008,Lituânia,,,01. Homicídio intencional,,, crimes,,286
2008,Lituânia,,,02. Tentativa de homicídio intencional,,, crimes,,15
2008,Lituânia,,,03. Agressão grave,,, crimes,,251
2008,Lituânia,,,04. Sequestro,,, crimes,,61
2008,Lituânia,,,05. Violência sexual,,, crimes,,368
2008,Lituânia,,,06. Violação,,, crimes,,164
2008,Lituânia,,,07. Assédio sexual,,, crimes,,204
2008,Lituânia,,,08. Roubo,,, crimes,,3452
2008,Lituânia,,,09. Arrombamento,,, crimes,x,
2008,Lituânia,,,10. Roubo em residências particulares,,, crimes,,6076
2008,Lituânia,,,11. Furto,,, crimes,,29610
2008,Lituânia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,2553
2008,Lituânia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,1837
2008,Luxemburgo,,,01. Homicídio intencional,,, crimes,,7
2008,Luxemburgo,,,02. Tentativa de homicídio intencional,,, crimes,,84
2008,Luxemburgo,,,03. Agressão grave,,, crimes,,2317
2008,Luxemburgo,,,04. Sequestro,,, crimes,,33
2008,Luxemburgo,,,05. Violência sexual,,, crimes,x,
2008,Luxemburgo,,,06. Violação,,, crimes,,57
2008,Luxemburgo,,,07. Assédio sexual,,, crimes,x,
2008,Luxemburgo,,,08. Roubo,,, crimes,,326
2008,Luxemburgo,,,09. Arrombamento,,, crimes,,2789
2008,Luxemburgo,,,10. Roubo em residências particulares,,, crimes,,1492
2008,Luxemburgo,,,11. Furto,,, crimes,,7021
2008,Luxemburgo,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,344
2008,Luxemburgo,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,1343
2008,Malta,,,01. Homicídio intencional,,, crimes,,6
2008,Malta,,,02. Tentativa de homicídio intencional,,, crimes,,5
2008,Malta,,,03. Agressão grave,,, crimes,,196
2008,Malta,,,04. Sequestro,,, crimes,,0
2008,Malta,,,05. Violência sexual,,, crimes,,80
2008,Malta,,,06. Violação,,, crimes,,19
2008,Malta,,,07. Assédio sexual,,, crimes,,61
2008,Malta,,,08. Roubo,,, crimes,,147
2008,Malta,,,09. Arrombamento,,, crimes,,1334
2008,Malta,,,10. Roubo em residências particulares,,, crimes,,674
2008,Malta,,,11. Furto,,, crimes,,6646
2008,Malta,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,398
2008,Malta,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,180
2008,Países Baixos,,,01. Homicídio intencional,,, crimes,,150
2008,Países Baixos,,,02. Tentativa de homicídio intencional,,, crimes,,1500
2008,Países Baixos,,,03. Agressão grave,,, crimes,,69005
2008,Países Baixos,,,04. Sequestro,,, crimes,,760
2008,Países Baixos,,,05. Violência sexual,,, crimes,,10495
2008,Países Baixos,,,06. Violação,,, crimes,,1945
2008,Países Baixos,,,07. Assédio sexual,,, crimes,,8550
2008,Países Baixos,,,08. Roubo,,, crimes,,13175
2008,Países Baixos,,,09. Arrombamento,,, crimes,,287645
2008,Países Baixos,,,10. Roubo em residências particulares,,, crimes,,91245
2008,Países Baixos,,,11. Furto,,, crimes,,704160
2008,Países Baixos,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,21665
2008,Países Baixos,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,18875
2008,Polónia,,,01. Homicídio intencional,,, crimes,,460
2008,Polónia,,,02. Tentativa de homicídio intencional,,, crimes,,298
2008,Polónia,,,03. Agressão grave,,, crimes,x,
2008,Polónia,,,04. Sequestro,,, crimes,,37
2008,Polónia,,,05. Violência sexual,,, crimes,x,
2008,Polónia,,,06. Violação,,, crimes,,1611
2008,Polónia,,,07. Assédio sexual,,, crimes,x,
2008,Polónia,,,08. Roubo,,, crimes,,21085
2008,Polónia,,,09. Arrombamento,,, crimes,,124066
2008,Polónia,,,10. Roubo em residências particulares,,, crimes,,20892
2008,Polónia,,,11. Furto,,, crimes,,214414
2008,Polónia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,17669
2008,Polónia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,57382
2008,Portugal,,,01. Homicídio intencional,,, crimes,,124
2008,Portugal,,,03. Agressão grave,,, crimes,,760
2008,Portugal,,,04. Sequestro,,, crimes,,492
2008,Portugal,,,05. Violência sexual,,, crimes,,2251
2008,Portugal,,,06. Violação,,, crimes,,314
2008,Portugal,,,07. Assédio sexual,,, crimes,,1937
2008,Portugal,,,08. Roubo,,, crimes,,20854
2008,Portugal,,,09. Arrombamento,,, crimes,,53751
2008,Portugal,,,10. Roubo em residências particulares,,, crimes,,29663
2008,Portugal,,,11. Furto,,, crimes,,126956
2008,Portugal,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,25274
2008,Portugal,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,3729
2008,Roménia,,,01. Homicídio intencional,,, crimes,,470
2008,Roménia,,,02. Tentativa de homicídio intencional,,, crimes,,410
2008,Roménia,,,03. Agressão grave,,, crimes,,9457
2008,Roménia,,,04. Sequestro,,, crimes,,265
2008,Roménia,,,05. Violência sexual,,, crimes,,1566
2008,Roménia,,,06. Violação,,, crimes,,1016
2008,Roménia,,,07. Assédio sexual,,, crimes,,550
2008,Roménia,,,08. Roubo,,, crimes,,2464
2008,Roménia,,,09. Arrombamento,,, crimes,,10285
2008,Roménia,,,10. Roubo em residências particulares,,, crimes,,10285
2008,Roménia,,,11. Furto,,, crimes,,41874
2008,Roménia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,2355
2008,Roménia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,3621
2008,Suécia,,,01. Homicídio intencional,,, crimes,,82
2008,Suécia,,,02. Tentativa de homicídio intencional,,, crimes,,751
2008,Suécia,,,03. Agressão grave,,, crimes,,5332
2008,Suécia,,,05. Violência sexual,,, crimes,,14058
2008,Suécia,,,06. Violação,,, crimes,,4901
2008,Suécia,,,07. Assédio sexual,,, crimes,,9157
2008,Suécia,,,08. Roubo,,, crimes,,8909
2008,Suécia,,,09. Arrombamento,,, crimes,,94278
2008,Suécia,,,10. Roubo em residências particulares,,, crimes,,37870
2008,Suécia,,,11. Furto,,, crimes,,436446
2008,Suécia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,44717
