
Quadro extraído em 28 de Julho de 2025 (19:21:17)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de criminalidade (?) por Localização geográfica (NUTS - 2024) e Categoria de crime -  Anual;;;;;;;
;Período de referência dos dados (1) ;;;;;;;
;2024;;;;;;;
;Categoria de crime;;;;;;;
;Total;Crimes contra a integridade física;Furto/roubo por esticão e na via pública;Furto de veículo e em veículo motorizado;Condução de veículo com taxa de álcool igual ou superior a 1,2g/l;Condução sem habilitação legal;Crimes contra o património;
;? ;? ;? ;? ;? ;? ;? ;
1941802: Carregal do Sal;26,1;6,9;0;0,8;2,7;0,9;10,4;
1941803: Castro Daire;18,1;3,5;0;0,7;2,2;0,5;8,3;
1941806: Mangualde;31,2;7;0;1,1;2,1;0,7;13,9;
1941809: Nelas;24,7;5;0;1,5;2,4;0,7;11,9;
1941810: Oliveira de Frades;27,1;4,1;? ?;0,9;4,9;1,5;10,7;
1941811: Penalva do Castelo;17,8;4,5;0;? ?;0,8;0,9;8,1;
1941814: Santa Comba Dão;27,9;5,9;0,3;1,1;3,5;0,6;10,1;
1941816: São Pedro do Sul;20,9;4,9;0;1;1,4;0,7;9,6;
1941817: Sátão;15;3,2;0;0,3;0,9;0,4;7,4;
1941821: Tondela;22,3;5,2;? ?;0,8;1,6;0,5;9,8;
1941822: Vila Nova de Paiva;16,3;1,9;0;0;5;0,6;6,6;
1941823: Viseu;25,8;4,5;0,5;1,2;2,7;0,6;12,9;
1941824: Vouzela;23,9;5,3;? ?;? ?;1,9;0,3;10,1;
195: Beira Baixa;33,8;5,6;0,2;1,1;2,8;0,6;16,5;
1950502: Castelo Branco;32,8;5,6;? ?;1,2;2,3;0,6;17,1;
1950505: Idanha-a-Nova;49,6;8;? ?;0,7;3,5;1,4;23,5;
1950506: Oleiros;29,3;3,1;0;0,8;2,9;? ?;13,2;
1950507: Penamacor;41,9;8,3;0;1,5;1,9;0;20,3;
1950508: Proença-a-Nova;30,4;4,2;0;1;4,6;0,8;11,7;
1950509: Sertã;32,7;5,4;? ?;0,7;3,5;0,4;14,5;
1950510: Vila de Rei;17,9;2,6;0;1,2;1,4;? ?;8,4;
1950511: Vila Velha de Ródão;33,3;6,2;0;2,2;3,1;? ?;17,3;
196: Beiras e Serra da Estrela;31,7;6,9;0,1;0,9;2,4;0,7;12,8;
1960902: Almeida;49,7;7,5;0;2,5;5,9;1,4;20,1;
1960501: Belmonte;42,9;10,2;? ?;1,1;? ?;1;18,7;
1960903: Celorico da Beira;25,8;5,6;0;0,8;3,6;0,5;9;
1960503: Covilhã;32,9;8,3;0,2;0,5;2,3;0,6;13,4;
1960904: Figueira de Castelo Rodrigo;42;9;0;0,6;2,4;0,6;13,7;
1960905: Fornos de Algodres;27,5;4,8;0;? ?;2,5;? ?;12;
1960504: Fundão;42,5;8,3;0,3;1,4;1,2;0,8;20,3;
1960906: Gouveia;24,3;5,3;0;0,6;1,5;0,2;10,4;
1960907: Guarda;24,7;5,3;0,1;0,7;2,4;0,8;9,5;
1960908: Manteigas;28,5;9,8;0;? ?;? ?;? ?;10,8;
1960909: Mêda;24,6;3,9;0;0,9;5,2;? ?;9,1;
1960910: Pinhel;25,5;4,6;0;0,8;2,6;0,5;8,2;
1960911: Sabugal;26,7;5,8;? ?;0,8;3,2;1,5;8,8;
1960912: Seia;36,2;8,2;0,2;1,3;3,2;0,5;13;
1960913: Trancoso;20,6;3,2;0;0,7;2,3;1,1;8,3;
1D: Oeste e Vale do Tejo;29,3;4,6;0,4;2;1,8;1,1;15,2;
1D1: Oeste;26,9;4,6;0,3;2,2;1,7;1,1;13,7;
1D11001: Alcobaça;24,2;3,7;0,2;2,1;1,5;0,7;13,5;
1D11101: Alenquer;26,6;4;0,1;1,3;2,5;1,9;12,4;
1D11102: Arruda dos Vinhos;25,5;3,5;? ?;1,7;0,8;0,9;13,8;
1D11005: Bombarral;24,4;5,5;0,4;1,8;1,3;0,6;11,8;
1D11104: Cadaval;22,6;4,4;? ?;1,1;1,2;0,4;12;
1D11006: Caldas da Rainha;24,3;4,8;0,4;1,9;0,8;0,9;11,8;
1D11108: Lourinhã;27,4;5,5;0,2;2,5;1,4;1;13,9;
1D11011: Nazaré;38,1;7,3;0,6;3,6;1,5;1,5;19,2;
1D11012: Óbidos;26,6;3;0,2;3,9;3,9;1,7;12,3;
1D11014: Peniche;37,6;6,9;0,8;3;2,8;1,5;17,7;
1D11112: Sobral de Monte Agraço;33;7,3;0,2;1,8;2,5;1,4;15,2;
1D11113: Torres Vedras;25,7;3,8;0,3;2,5;1,7;1;13,8;
1D2: Médio Tejo;29,1;4,2;0,5;2;1,4;0,8;16,3;
1D21401: Abrantes;24,9;3,9;0,3;1,3;1,2;0,4;14;
1D21402: Alcanena;27,8;4,7;0,2;2;1,2;1;14,3;
1D21408: Constância;22,1;4,2;? ?;? ?;1,5;1;11,7;
1D21410: Entroncamento;40,3;3,8;2,4;5,8;0,5;0,8;28;
1D21411: Ferreira do Zêzere;23,2;5,3;? ?;0,6;1,8;? ?;10,8;
1D21413: Mação;33,6;6,1;? ?;1,6;2,7;0,5;17,5;
1D21421: Ourém;26,6;3,8;0,1;1,2;2,1;1,1;12,5;
1D21417: Sardoal;29,4;3,6;0;? ?;3;? ?;12,9;
1D21418: Tomar;30,9;4,8;0,6;1,6;0,9;0,5;17,5;
1D21419: Torres Novas;29,6;3,6;0,5;2,6;1,1;0,8;18,4;
1D21420: Vila Nova da Barquinha;26,8;5,4;0;1,5;2,2;1,7;12,8;
1D3: Lezíria do Tejo;33,3;5;0,4;1,8;2,4;1,5;16,6;
1D31403: Almeirim;38,8;5,4;0,3;3,1;3,9;2,6;18,1;
1D31404: Alpiarça;45,4;5,7;? ?;1,2;7,5;2;17,2;
1D31103: Azambuja;41,9;6,1;0,5;2,4;3,8;2,6;16,3;
1D31405: Benavente;32,4;5;0,5;1,5;1,7;1,3;17,1;
1D31406: Cartaxo;28,1;4,9;0,2;1,2;2;1,7;13,9;
1D31407: Chamusca;29,1;3,7;? ?;0,7;2,5;? ?;13,6;
1D31409: Coruche;36,6;6,7;0,2;1,2;1,6;0,9;18,8;
1D31412: Golegã;33,9;4,2;? ?;1,5;2;? ?;18,6;
1D31414: Rio Maior;38;5;0,4;2;3,4;2,2;19,4;
1D31415: Salvaterra de Magos;33,1;5,2;0,3;1,1;2,9;1,6;14,9;
1D31416: Santarém;27;4,2;0,5;1,9;0,9;0,6;16,1;
1A: Grande Lisboa;33,9;5,4;1,4;3;0,9;1;20,2;
1A0: Grande Lisboa;33,9;5,4;1,4;3;0,9;1;20,2;
1A01115: Amadora;28,9;5,8;0,7;2,1;1,5;1,8;13,9;
1A01105: Cascais;28,2;4,5;1;3;0,6;0,7;17,5;
1A01106: Lisboa;53,6;6,2;3,2;4,8;0,9;1,3;34,6;
1A01107: Loures;29,6;6,3;1;2,6;0,9;0,8;16,3;
1A01109: Mafra;25,6;4,1;0,2;1,6;1,2;1;13,1;
1A01116: Odivelas;17,9;2,9;0,9;1,9;0,3;0,4;10,2;
1A01110: Oeiras;26,6;4,8;0,8;2;0,5;0,6;15,6;
1A01111: Sintra;28,4;5,6;0,8;2,5;0,8;0,5;16,5;
1A01114: Vila Franca de Xira;23,6;4,8;0,5;1,6;1,2;1,2;11,4;
1B: Península de Setúbal;34,7;6,1;1;3,5;0,9;1,2;19,4;
1B0: Península de Setúbal;34,7;6,1;1;3,5;0,9;1,2;19,4;
1B01502: Alcochete;29,6;4,4;0,3;1,7;1,2;1,7;15,6;
1B01503: Almada;40,5;6,1;1,3;5,9;0,8;1,2;25;
1B01504: Barreiro;40,5;7,8;1,7;1,9;1,2;2,4;20,4;
1B01506: Moita;34,1;7,1;1,5;2,6;1,9;1,3;17,4;
1B01507: Montijo;38,3;6,3;0,9;2,9;0,8;1,2;21,4;
1B01508: Palmela;33,5;5,8;0,4;2,3;1,1;0,9;17,3;
1B01510: Seixal;25,7;5,1;0,8;2,4;0,6;0,7;14;
1B01511: Sesimbra;37;5,5;0,5;3,4;1,1;1;21,2;
1B01512: Setúbal;34;6,5;0,9;4,1;0,5;1;19,3;
1C: Alentejo;35,5;6;0,4;1,8;2,6;1,2;16,4;
1C1: Alentejo Litoral;39,8;6,4;0,4;2,1;3,1;1,4;18,4;
1C11501: Alcácer do Sal;55,7;9,5;0,5;3,6;4,6;2;26,9;
1C11505: Grândola;50,2;7,7;0,6;2,7;2,2;2;23,2;
1C10211: Odemira;25,1;3,7;0,1;1,1;2,8;1;10,7;
1C11509: Santiago do Cacém;35,4;6,5;0,1;1,3;2,7;1,3;16,5;
1C11513: Sines;59,9;8,8;1,4;3,8;4,7;1,8;28,9;
1C2: Baixo Alentejo;37,9;6,2;0,3;2,5;1,9;1,2;17,9;
1C20201: Aljustrel;34,4;6,1;? ?;2,9;3;0,6;16,7;
1C20202: Almodôvar;29,5;3,3;0;1,4;? ?;0;14,3;
1C20203: Alvito;46,5;5,6;0;3;? ?;2,6;26,1;
1C20204: Barrancos;50,2;16,3;0;? ?;? ?;? ?;19,1;
1C20205: Beja;45,4;7,7;0,8;4,5;1,8;1,3;22,8;
1C20206: Castro Verde;32,5;5,2;? ?;0,9;3;1,4;13,7;
1C20207: Cuba;50,3;11,9;0;3,6;2;1,3;21;
1C20208: Ferreira do Alentejo;49;9,9;0;2,9;3,2;1,9;21,3;
1C20209: Mértola;22,6;2,5;? ?;0,7;3;1;8,7;
1C20210: Moura;31,6;4,4;? ?;1,3;1,3;1,6;14,9;
1C20212: Ourique;30,9;3,8;? ?;1,3;2,5;? ?;14,6;
1C20213: Serpa;30,9;3,9;? ?;1,4;1,8;1,2;14,8;
1C20214: Vidigueira;36,1;4,9;? ?;? ?;1;1,5;16,7;
1C3: Alto Alentejo;36,9;6,7;0,4;1,2;3,3;1,3;16,4;
1C31201: Alter do Chão;34,8;8,4;? ?;1,2;? ?;? ?;17,4;
1C31202: Arronches;23,5;6,1;? ?;? ?;? ?;0;9;
1C31203: Avis;74,5;14,9;? ?;1,6;4;2,1;36,2;
1C31204: Campo Maior;49,8;7,6;0,5;0,9;4,6;2,9;21,1;
1C31205: Castelo de Vide;37,1;6,6;? ?;? ?;6,3;? ?;15,4;
1C31206: Crato;31,7;3,7;? ?;? ?;? ?;? ?;18,5;
1C31207: Elvas;43,3;8,5;0,8;2,7;3,1;2,1;19,3;
1C31208: Fronteira;23,2;6,1;? ?;? ?;1;? ?;9,4;
1C31209: Gavião;32,2;3,7;? ?;? ?;1,5;? ?;19,9;
1C31210: Marvão;20,5;2,6;0;0;4,6;0;6;
1C31211: Monforte;21,5;5,6;? ?;? ?;1,3;? ?;10,6;
1C31212: Nisa;29,3;4,6;? ?;0,7;2,5;0,5;13;
1C31213: Ponte de Sor;39,9;6,8;0,3;0,9;3,3;1,5;17,9;
1C31214: Portalegre;30,5;5,7;0,2;0,9;4,5;1;12,3;
1C31215: Sousel;30,4;4,3;? ?;0,9;2,3;? ?;13,9;
1C4: Alentejo Central;29,8;5,3;0,3;1,5;2,3;1;14;
1C40701: Alandroal;18,3;4,8;? ?;0,8;1;0,8;7,4;
1C40702: Arraiolos;23;2,3;? ?;1,5;3,5;0,9;10,8;
1C40703: Borba;33,1;6,3;0,6;1,9;3,6;0,6;14,9;
1C40704: Estremoz;32,4;5,8;0,6;1,4;1,6;0,4;17,9;
1C40705: Évora;26,7;4,9;0,6;2;1;1,4;14,1;
1C40706: Montemor-o-Novo;33,7;4,8;? ?;1,6;2,5;0,9;16,6;
1C40707: Mora;28,4;4,3;0;? ?;1,2;1;13,7;
1C40708: Mourão;64,6;7;0;6,2;6,6;1,2;30,8;
1C40709: Portel;31,2;5,6;0;? ?;4,2;1,2;13,6;
1C40710: Redondo;27,7;6,7;? ?;1;3,5;0;10,2;
1C40711: Reguengos de Monsaraz;38,4;6,1;0;1;3,8;1,2;14,4;
1C40712: Vendas Novas;28,8;7;? ?;0,6;3,8;1,6;10,3;
1C40713: Viana do Alentejo;35,8;8,4;? ?;0,5;3,6;0,5;12,9;
1C40714: Vila Viçosa;26,4;3,3;? ?;0,6;3,3;0,8;12,5;
15: Algarve;51,8;8;0,9;4,9;2,1;1,7;29,5;
150: Algarve;51,8;8;0,9;4,9;2,1;1,7;29,5;
1500801: Albufeira;78,2;10,6;2,6;6,8;2;1,1;46,9;
1500802: Alcoutim;41,2;5;0;1,7;5,4;2,9;20,4;
1500803: Aljezur;54,5;9,2;? ?;8,3;2,5;2,6;28,3;
1500804: Castro Marim;44,3;7,7;? ?;4,7;0,7;0,7;27,2;
1500805: Faro;49,8;8,1;0,9;4;1,6;1;28,1;
1500806: Lagoa;44,1;6,7;0,4;8,4;1,1;0,8;28,8;
1500807: Lagos;42,3;7,5;0,7;3,2;1,4;1,8;21,7;
1500808: Loulé;61,4;9,5;1,1;4,9;3,8;2,6;34,2;
1500809: Monchique;33,4;5,8;? ?;2,1;3,6;? ?;16,1;
1500810: Olhão;45,8;7,8;0,6;4,2;0,9;2,4;25;
1500811: Portimão;48,1;7,4;1,1;5,3;1,9;2,5;27,6;
1500812: São Brás de Alportel;37,1;6,1;? ?;4,1;1,9;0,6;21,7;
1500813: Silves;43,5;6,2;0,5;4,3;0,8;0,6;27,2;
1500814: Tavira;46,5;5,9;0,6;3,1;4,2;3;23,9;
1500815: Vila do Bispo;58,9;8,9;? ?;10,4;2,6;? ?;33,9;
1500816: Vila Real de Santo António;48;8,2;0,4;4,1;2,4;1,1;25,6;
2: Região Autónoma dos Açores;39,7;9,4;0,4;2,6;2,1;1,3;16,7;
20: Região Autónoma dos Açores;39,7;9,4;0,4;2,6;2,1;1,3;16,7;
200: Região Autónoma dos Açores;39,7;9,4;0,4;2,6;2,1;1,3;16,7;
2004301: Angra do Heroísmo;35;8,8;0,2;1,1;2,5;1,7;13,8;
2004501: Calheta (R.A.A.);21,2;5,5;0;? ?;2,3;1,1;8,9;
2004901: Corvo;6,9;? ?;0;0;0;0;? ?;
2004701: Horta;31;7,4;? ?;0,9;2,4;0,8;10,5;
2004201: Lagoa (R.A.A.);44,3;10,4;0,3;3,6;2,4;1,1;18,4;
2004801: Lajes das Flores;14,4;? ?;0;? ?;? ?;0;? ?;
2004601: Lajes do Pico;11,6;3,9;? ?;0,7;? ?;0;5;
2004602: Madalena;35,4;9;? ?;1,2;1,5;1,8;14;
2004202: Nordeste;27;7,7;0;0,7;2,3;1,8;8,3;
2004203: Ponta Delgada;48,3;10,1;1;4,2;2,9;1,9;21,4;
2004204: Povoação;28;9,7;0;1,4;1,7;0,8;7,8;
2004205: Ribeira Grande;57,7;13,9;0,3;4,6;1,2;0,7;27,8;
2004401: Santa Cruz da Graciosa;31,4;8,6;0;0;2;? ?;7,6;
2004802: Santa Cruz das Flores;36,4;6,1;0;1,9;2,4;1,4;11,4;
2004603: São Roque do Pico;24,6;7,8;? ?;? ?;2,6;? ?;5,8;
2004502: Velas;23,8;6,3;0;0,6;1;? ?;8,9;
