01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Vila Nova da Barquinha,Município,,,,, sessões,79
2011,Vila Nova de Cerveira,Município,,,,, sessões,17
2011,Vila Nova de Famalicão,Município,,,,..., sessões,
2011,Vila Nova de Foz Côa,Município,,,,, sessões,16
2011,Vila Nova de Gaia,Município,,,,, sessões,322
2011,Vila Nova de Paiva,Município,,,,, sessões,0
2011,Vila Nova de Poiares,Município,,,,, sessões,0
2011,Vila Pouca de Aguiar,Município,,,,, sessões,23
2011,Vila Real,Município,,,,, sessões,310
2011,Vila Real de Santo António,Município,,,,, sessões,47
2011,Vila Velha de Ródão,Município,,,,, sessões,7
2011,Vila Verde,Município,,,,, sessões,0
2011,Vila Viçosa,Município,,,,, sessões,54
2011,Vimioso,Município,,,,, sessões,15
2011,Vinhais,Município,,,,, sessões,22
2011,Viseu,Município,,,,, sessões,189
2011,Vizela,Município,,,,, sessões,0
2011,Vouzela,Município,,,,, sessões,32
2012,Abrantes,Município,,,,, sessões,67
2012,Águeda,Município,,,,, sessões,12
2012,Aguiar da Beira,Município,,,,, sessões,0
2012,Alandroal,Município,,,,, sessões,0
2012,Albergaria-a-Velha,Município,,,,, sessões,6
2012,Albufeira,Município,,,,..., sessões,
2012,Alcácer do Sal,Município,,,,..., sessões,
2012,Alcanena,Município,,,,, sessões,13
2012,Alcobaça,Município,,,,, sessões,95
2012,Alcochete,Município,,,,, sessões,55
2012,Alcoutim,Município,,,,, sessões,69
2012,Alenquer,Município,,,,, sessões,19
2012,Alfândega da Fé,Município,,,,, sessões,0
2012,Alijó,Município,,,,..., sessões,
2012,Aljezur,Município,,,,, sessões,0
2012,Aljustrel,Município,,,,, sessões,124
2012,Almada,Município,,,,, sessões,358
2012,Almeida,Município,,,,, sessões,0
2012,Almeirim,Município,,,,, sessões,58
2012,Almodôvar,Município,,,,, sessões,29
2012,Alpiarça,Município,,,,, sessões,14
2012,Alter do Chão,Município,,,,, sessões,14
2012,Alvaiázere,Município,,,,, sessões,25
2012,Alvito,Município,,,,..., sessões,
2012,Amadora,Município,,,,, sessões,223
2012,Amarante,Município,,,,..., sessões,
2012,Amares,Município,,,,, sessões,71
2012,Anadia,Município,,,,..., sessões,
2012,Angra do Heroísmo,Município,,,,, sessões,74
2012,Ansião,Município,,,,..., sessões,
2012,Arcos de Valdevez,Município,,,,, sessões,48
2012,Arganil,Município,,,,..., sessões,
2012,Armamar,Município,,,,, sessões,0
2012,Arouca,Município,,,,, sessões,48
2012,Arraiolos,Município,,,,, sessões,45
2012,Arronches,Município,,,,, sessões,0
2012,Arruda dos Vinhos,Município,,,,, sessões,29
2012,Aveiro,Município,,,,, sessões,322
2012,Avis,Município,,,,, sessões,58
2012,Azambuja,Município,,,,, sessões,58
2012,Baião,Município,,,,, sessões,8
2012,Barcelos,Município,,,,, sessões,9
2012,Barrancos,Município,,,,, sessões,0
2012,Barreiro,Município,,,,, sessões,245
2012,Batalha,Município,,,,..., sessões,
2012,Beja,Município,,,,, sessões,80
2012,Belmonte,Município,,,,..., sessões,
2012,Benavente,Município,,,,..., sessões,
2012,Bombarral,Município,,,,, sessões,6
2012,Borba,Município,,,,, sessões,64
2012,Boticas,Município,,,,, sessões,15
2012,Braga,Município,,,,, sessões,442
2012,Bragança,Município,,,,, sessões,107
2012,Cabeceiras de Basto,Município,,,,, sessões,0
2012,Cadaval,Município,,,,, sessões,16
2012,Caldas da Rainha,Município,,,,, sessões,13
2012,Calheta [R.A.A.],Município,,,,, sessões,11
2012,Calheta [R.A.M.],Município,,,,, sessões,15
2012,Câmara de Lobos,Município,,,,, sessões,40
2012,Caminha,Município,,,,..., sessões,
2012,Campo Maior,Município,,,,, sessões,20
2012,Cantanhede,Município,,,,, sessões,175
2012,Carrazeda de Ansiães,Município,,,,, sessões,0
2012,Carregal do Sal,Município,,,,, sessões,0
2012,Cartaxo,Município,,,,, sessões,13
2012,Cascais,Município,,,,, sessões,198
2012,Castanheira de Pêra,Município,,,,, sessões,0
2012,Castelo Branco,Município,,,,, sessões,72
2012,Castelo de Paiva,Município,,,,, sessões,0
2012,Castelo de Vide,Município,,,,, sessões,21
2012,Castro Daire,Município,,,,, sessões,20
2012,Castro Marim,Município,,,,, sessões,0
2012,Castro Verde,Município,,,,, sessões,108
2012,Celorico da Beira,Município,,,,, sessões,0
2012,Celorico de Basto,Município,,,,, sessões,0
2012,Chamusca,Município,,,,, sessões,0
2012,Chaves,Município,,,,, sessões,109
2012,Cinfães,Município,,,,, sessões,61
2012,Coimbra,Município,,,,, sessões,769
2012,Condeixa-a-Nova,Município,,,,, sessões,0
2012,Constância,Município,,,,, sessões,23
2012,Coruche,Município,,,,, sessões,0
2012,Corvo,Município,,,,, sessões,0
2012,Covilhã,Município,,,,..., sessões,
2012,Crato,Município,,,,..., sessões,
2012,Cuba,Município,,,,, sessões,0
2012,Elvas,Município,,,,, sessões,76
2012,Entroncamento,Município,,,,, sessões,25
2012,Espinho,Município,,,,, sessões,54
2012,Esposende,Município,,,,, sessões,39
2012,Estarreja,Município,,,,, sessões,157
2012,Estremoz,Município,,,,, sessões,45
2012,Évora,Município,,,,, sessões,141
2012,Fafe,Município,,,,..., sessões,
2012,Faro,Município,,,,, sessões,60
2012,Felgueiras,Município,,,,, sessões,44
2012,Ferreira do Alentejo,Município,,,,..., sessões,
2012,Ferreira do Zêzere,Município,,,,, sessões,35
2012,Figueira da Foz,Município,,,,, sessões,136
2012,Figueira de Castelo Rodrigo,Município,,,,..., sessões,
2012,Figueiró dos Vinhos,Município,,,,..., sessões,
2012,Fornos de Algodres,Município,,,,..., sessões,
2012,Freixo de Espada à Cinta,Município,,,,, sessões,0
2012,Fronteira,Município,,,,, sessões,0
2012,Funchal,Município,,,,, sessões,546
2012,Fundão,Município,,,,, sessões,236
2012,Gavião,Município,,,,, sessões,0
2012,Góis,Município,,,,, sessões,0
2012,Golegã,Município,,,,, sessões,0
2012,Gondomar,Município,,,,..., sessões,
2012,Gouveia,Município,,,,, sessões,38
2012,Grândola,Município,,,,..., sessões,
2012,Guarda,Município,,,,, sessões,124
2012,Guimarães,Município,,,,, sessões,190
2012,Horta,Município,,,,..., sessões,
2012,Idanha-a-Nova,Município,,,,, sessões,0
2012,Ílhavo,Município,,,,, sessões,20
2012,Lagoa,Município,,,,, sessões,122
2012,Lagoa [R.A.A.],Município,,,,, sessões,31
2012,Lagos,Município,,,,, sessões,186
2012,Lajes das Flores,Município,,,,, sessões,0
2012,Lajes do Pico,Município,,,,, sessões,0
2012,Lamego,Município,,,,, sessões,37
2012,Leiria,Município,,,,, sessões,364
2012,Lisboa,Município,,,,, sessões,8256
2012,Loulé,Município,,,,, sessões,83
2012,Loures,Município,,,,..., sessões,
2012,Lourinhã,Município,,,,..., sessões,
2012,Lousã,Município,,,,, sessões,39
2012,Lousada,Município,,,,, sessões,96
2012,Mação,Município,,,,, sessões,0
2012,Macedo de Cavaleiros,Município,,,,..., sessões,
2012,Machico,Município,,,,, sessões,106
2012,Madalena,Município,,,,, sessões,0
2012,Mafra,Município,,,,..., sessões,
2012,Maia,Município,,,,, sessões,61
2012,Mangualde,Município,,,,, sessões,0
2012,Manteigas,Município,,,,, sessões,40
2012,Marco de Canaveses,Município,,,,, sessões,55
2012,Marinha Grande,Município,,,,, sessões,0
2012,Marvão,Município,,,,..., sessões,
2012,Matosinhos,Município,,,,, sessões,253
2012,Mealhada,Município,,,,, sessões,9
2012,Mêda,Município,,,,..., sessões,
2012,Melgaço,Município,,,,, sessões,0
2012,Mértola,Município,,,,, sessões,92
2012,Mesão Frio,Município,,,,, sessões,37
2012,Mira,Município,,,,, sessões,0
2012,Miranda do Corvo,Município,,,,..., sessões,
2012,Miranda do Douro,Município,,,,, sessões,0
2012,Mirandela,Município,,,,..., sessões,
2012,Mogadouro,Município,,,,, sessões,0
2012,Moimenta da Beira,Município,,,,..., sessões,
2012,Moita,Município,,,,, sessões,84
2012,Monção,Município,,,,, sessões,29
2012,Monchique,Município,,,,..., sessões,
2012,Mondim de Basto,Município,,,,, sessões,0
2012,Monforte,Município,,,,, sessões,19
2012,Montalegre,Município,,,,, sessões,0
2012,Montemor-o-Novo,Município,,,,, sessões,100
2012,Montemor-o-Velho,Município,,,,..., sessões,
2012,Montijo,Município,,,,, sessões,9
2012,Mora,Município,,,,, sessões,0
2012,Mortágua,Município,,,,..., sessões,
2012,Moura,Município,,,,, sessões,44
2012,Mourão,Município,,,,..., sessões,
2012,Murça,Município,,,,, sessões,0
2012,Murtosa,Município,,,,, sessões,0
2012,Nazaré,Município,,,,..., sessões,
2012,Nelas,Município,,,,, sessões,38
2012,Nisa,Município,,,,, sessões,9
2012,Nordeste,Município,,,,, sessões,0
2012,Óbidos,Município,,,,..., sessões,
2012,Odemira,Município,,,,, sessões,40
2012,Odivelas,Município,,,,, sessões,659
2012,Oeiras,Município,,,,, sessões,133
2012,Oleiros,Município,,,,, sessões,0
2012,Olhão,Município,,,,, sessões,5
2012,Oliveira de Azeméis,Município,,,,..., sessões,
2012,Oliveira de Frades,Município,,,,, sessões,0
2012,Oliveira do Bairro,Município,,,,, sessões,5
2012,Oliveira do Hospital,Município,,,,, sessões,71
2012,Ourém,Município,,,,, sessões,72
2012,Ourique,Município,,,,..., sessões,
2012,Ovar,Município,,,,..., sessões,
2012,Paços de Ferreira,Município,,,,..., sessões,
2012,Palmela,Município,,,,, sessões,154
2012,Pampilhosa da Serra,Município,,,,, sessões,0
2012,Paredes,Município,,,,..., sessões,
2012,Paredes de Coura,Município,,,,, sessões,71
2012,Pedrógão Grande,Município,,,,..., sessões,
2012,Penacova,Município,,,,, sessões,0
2012,Penafiel,Município,,,,, sessões,58
2012,Penalva do Castelo,Município,,,,..., sessões,
2012,Penamacor,Município,,,,, sessões,0
2012,Penedono,Município,,,,, sessões,0
2012,Penela,Município,,,,, sessões,0
2012,Peniche,Município,,,,, sessões,17
2012,Peso da Régua,Município,,,,, sessões,0
2012,Pinhel,Município,,,,..., sessões,
2012,Pombal,Município,,,,, sessões,41
2012,Ponta Delgada,Município,,,,, sessões,94
2012,Ponta do Sol,Município,,,,, sessões,74
2012,Ponte da Barca,Município,,,,, sessões,0
2012,Ponte de Lima,Município,,,,, sessões,118
2012,Ponte de Sor,Município,,,,..., sessões,
2012,Portalegre,Município,,,,, sessões,190
2012,Portel,Município,,,,, sessões,0
2012,Portimão,Município,,,,, sessões,380
2012,Porto,Município,,,,, sessões,2428
2012,Porto de Mós,Município,,,,..., sessões,
2012,Porto Moniz,Município,,,,, sessões,6
2012,Porto Santo,Município,,,,, sessões,35
2012,Póvoa de Lanhoso,Município,,,,..., sessões,
2012,Póvoa de Varzim,Município,,,,..., sessões,
2012,Povoação,Município,,,,, sessões,0
2012,Proença-a-Nova,Município,,,,, sessões,0
2012,Redondo,Município,,,,..., sessões,
2012,Reguengos de Monsaraz,Município,,,,..., sessões,
2012,Resende,Município,,,,, sessões,15
